tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-death-comments,animal-life-stage,animal-mass,animal-sex,attachment-type,deployment-comments,deployment-end-comments,deployment-end-type,duty-cycle,manipulation-type,tag-manufacturer-name,tag-model,tag-readout-method
J081,J081,Canis lupus,,,Sunwapta pack,,adult,,f,collar,,,,1 fix every 15 min to 6 hr,none,Lotek,GPS3300sw,other-wireless
K021,K021,Canis lupus,,,Cutbank pack,,adult,,f,collar,,,,1 fix every 15 min to 6 hr,none,Lotek,GPS3300sw,other-wireless
J068,J068,Canis lupus,,,Rocky River pack,,adult,,m,collar,,,,1 fix every 15 min to 6 hr,none,Lotek,GPS3300sw,other-wireless
J015,J015,Canis lupus,,,Medicine pack,,adult,,f,collar,,,,1 fix every 15 min to 6 hr,none,Lotek,GPS3300sw,other-wireless
JW01,JW01,Canis lupus,,,Bow Valley pack,,,,,collar,,,,1 fix every 15 min to 6 hr,none,Lotek,GPS3300sw,other-wireless
J016,J016,Canis lupus,,,Medicine pack,,adult,,m,collar,,,,1 fix every 15 min to 6 hr,none,Lotek,GPS3300sw,other-wireless
J031,J031,Canis lupus,,,Medicine pack,,yearling,,m,collar,,,,1 fix every 15 min to 6 hr,none,Lotek,GPS3300sw,other-wireless
B045,B045,Canis lupus,,,Cascade pack,,,,,collar,,,,1 fix every 15 min to 6 hr,none,Lotek,GPS3300sw,other-wireless
J058,J058,Canis lupus,,,Sunwapta pack,,adult,,f,collar,,,,1 fix every 15 min to 6 hr,none,Lotek,GPS3300sw,other-wireless
J040,J040,Canis lupus,,,Sunwapta pack,,adult,,m,collar,,,,1 fix every 15 min to 6 hr,none,Lotek,GPS3300sw,other-wireless
W116,W116,Canis lupus,,,Kakwa pack,,adult,,f,collar,,,,1 fix every 15 min to 6 hr,none,Lotek,GPS3300sw,other-wireless
J056,J056,Canis lupus,,,Sunwapta pack,,adult,,f,collar,,,,1 fix every 15 min to 6 hr,none,Lotek,GPS3300sw,other-wireless
N239,N239,Canis lupus,,,Lower Brazeau pack,,,,,collar,,,,1 fix every 15 min to 6 hr,none,Lotek,GPS3300sw,other-wireless
N211,N211,Canis lupus,,,Lower Brazeau pack,,,,,collar,,,,1 fix every 15 min to 6 hr,none,Lotek,GPS3300sw,other-wireless
JW02,JW02,Canis lupus,,,Bow Valley pack,,,,,collar,,,,1 fix every 15 min to 6 hr,none,Lotek,GPS3300sw,other-wireless
K022,K022,Canis lupus,,,Lynx Creek pack,,adult,,m,collar,,,,1 fix every 15 min to 6 hr,none,Lotek,GPS3300sw,other-wireless
