tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-life-stage,animal-sex,animal-taxon-detail,attachment-type,deployment-id,manipulation-type,study-site
4049,4049,Cervus elaphus,2001-12-13 07:01:00.000,,adult,f,ssp. canadensis,collar,4049,none,"Banff National Park, Canada"
GR182,GR182,Cervus elaphus,2002-04-05 07:01:00.000,,adult,f,ssp. canadensis,collar,GR182,none,"Banff National Park, Canada"
GR196,GR196,Cervus elaphus,2002-04-05 23:00:00.000,,adult,f,ssp. canadensis,collar,GR196,none,"Banff National Park, Canada"
GR193,GR193,Cervus elaphus,2002-04-05 23:01:00.000,,adult,f,ssp. canadensis,collar,GR193,none,"Banff National Park, Canada"
GP2,GP2,Cervus elaphus,2003-02-14 05:00:00.000,,adult,f,ssp. canadensis,collar,GP2,none,"Banff National Park, Canada"
YL5,YL5,Cervus elaphus,2003-02-14 05:00:00.000,,adult,f,ssp. canadensis,collar,YL5,none,"Banff National Park, Canada"
YL42,YL42,Cervus elaphus,2003-02-14 22:28:00.000,,adult,f,ssp. canadensis,collar,YL42,none,"Banff National Park, Canada"
YL15,YL15,Cervus elaphus,2003-02-16 13:00:00.000,,adult,f,ssp. canadensis,collar,YL15,none,"Banff National Park, Canada"
YL25,YL25,Cervus elaphus,2003-03-03 22:06:00.000,,adult,f,ssp. canadensis,collar,YL25,none,"Banff National Park, Canada"
YL29,YL29,Cervus elaphus,2003-03-03 22:09:00.000,,adult,f,ssp. canadensis,collar,YL29,none,"Banff National Park, Canada"
YL57,YL57,Cervus elaphus,2003-03-15 01:00:00.000,,adult,f,ssp. canadensis,collar,YL57,none,"Banff National Park, Canada"
YL1,YL1,Cervus elaphus,2003-03-25 19:01:00.000,,adult,f,ssp. canadensis,collar,YL1,none,"Banff National Park, Canada"
YL56,YL56,Cervus elaphus,2004-02-05 06:28:00.000,,adult,f,ssp. canadensis,collar,YL56,none,"Banff National Park, Canada"
YL59,YL59,Cervus elaphus,2004-02-05 19:02:00.000,,adult,f,ssp. canadensis,collar,YL59,none,"Banff National Park, Canada"
YL64,YL64,Cervus elaphus,2004-02-05 21:00:00.000,,adult,f,ssp. canadensis,collar,YL64,none,"Banff National Park, Canada"
YL58,YL58,Cervus elaphus,2004-02-05 23:00:00.000,,adult,f,ssp. canadensis,collar,YL58,none,"Banff National Park, Canada"
YL72,YL72,Cervus elaphus,2004-02-06 19:01:00.000,,adult,f,ssp. canadensis,collar,YL72,none,"Banff National Park, Canada"
